모범,ㅁㅗㅂㅓㅁ
상류,ㅅㅏㅇㄹㅠ
유명,ㅇㅠㅁㅕㅇ
유형,ㅇㅠㅎㅕㅇ
전후,ㅈㅓㄴㅎㅜ
폐지,ㅍㅕㅣㅈㅣ
해설,ㅎㅐㅅㅓㄹ
경비,ㄱㅕㅇㅂㅣ
도심,ㄷㅗㅅㅣㅁ
마찰,ㅁㅏㅊㅏㄹ
메뉴,ㅁㅓㅣㄴㅠ
미혼,ㅁㅣㅎㅗㄴ
영하,ㅇㅕㅇㅎㅏ
자정,ㅈㅏㅈㅓㅇ
최후,ㅊㅗㅣㅎㅜ
취재,ㅊㅜㅣㅈㅐ
테러,ㅌㅓㅣㄹㅓ
휴일,ㅎㅠㅇㅣㄹ
가난,ㄱㅏㄴㅏㄴ
가죽,ㄱㅏㅈㅜㄱ
다툼,ㄷㅏㅌㅜㅁ
대낮,ㄷㅐㄴㅏㅈ
사슴,ㅅㅏㅅㅡㅁ
소풍,ㅅㅗㅍㅜㅇ
전시,ㅈㅓㄴㅅㅣ
주한,ㅈㅜㅎㅏㄴ
포함,ㅍㅗㅎㅏㅁ
호남,ㅎㅗㄴㅏㅁ
감소,ㄱㅏㅁㅅㅗ
구입,ㄱㅜㅇㅣㅂ
낭비,ㄴㅏㅇㅂㅣ
라인,ㄹㅏㅇㅣㄴ
멸치,ㅁㅕㄹㅊㅣ
사상,ㅅㅏㅅㅏㅇ
서점,ㅅㅓㅈㅓㅁ
수집,ㅅㅜㅈㅣㅂ
수필,ㅅㅜㅍㅣㄹ
신비,ㅅㅣㄴㅂㅣ
지각,ㅈㅣㄱㅏㄱ
패션,ㅍㅐㅅㅕㄴ
고집,ㄱㅗㅈㅣㅂ
대접,ㄷㅐㅈㅓㅂ
부상,ㅂㅜㅅㅏㅇ
유산,ㅇㅠㅅㅏㄴ
채널,ㅊㅐㄴㅓㄹ
해답,ㅎㅐㄷㅏㅂ
경치,ㄱㅕㅇㅊㅣ
모집,ㅁㅗㅈㅣㅂ
보름,ㅂㅗㄹㅡㅁ
봉지,ㅂㅗㅇㅈㅣ
비상,ㅂㅣㅅㅏㅇ
세트,ㅅㅓㅣㅌㅡ
소망,ㅅㅗㅁㅏㅇ
여군,ㅇㅕㄱㅜㄴ
조절,ㅈㅗㅈㅓㄹ
콜라,ㅋㅗㄹㄹㅏ
강사,ㄱㅏㅇㅅㅏ
구청,ㄱㅜㅊㅓㅇ
기성,ㄱㅣㅅㅓㅇ
바퀴,ㅂㅏㅋㅜㅣ
번개,ㅂㅓㄴㄱㅐ
사망,ㅅㅏㅁㅏㅇ
시청,ㅅㅣㅊㅓㅇ
야간,ㅇㅑㄱㅏㄴ
오락,ㅇㅗㄹㅏㄱ
이슬,ㅇㅣㅅㅡㄹ
정지,ㅈㅓㅇㅈㅣ
조명,ㅈㅗㅁㅕㅇ
차선,ㅊㅏㅅㅓㄴ
각오,ㄱㅏㄱㅇㅗ
골프,ㄱㅗㄹㅍㅡ
국사,ㄱㅜㄱㅅㅏ
그간,ㄱㅡㄱㅏㄴ
기적,ㄱㅣㅈㅓㄱ
동서,ㄷㅗㅇㅅㅓ
말투,ㅁㅏㄹㅌㅜ
부친,ㅂㅜㅊㅣㄴ
암시,ㅇㅏㅁㅅㅣ
연주,ㅇㅕㄴㅈㅜ
음주,ㅇㅡㅁㅈㅜ
이별,ㅇㅣㅂㅕㄹ
인재,ㅇㅣㄴㅈㅐ
지급,ㅈㅣㄱㅡㅂ
차창,ㅊㅏㅊㅏㅇ
판사,ㅍㅏㄴㅅㅏ
허락,ㅎㅓㄹㅏㄱ
까치,ㄱㄱㅏㅊㅣ
로봇,ㄹㅗㅂㅗㅅ
버섯,ㅂㅓㅅㅓㅅ
보안,ㅂㅗㅇㅏㄴ
시일,ㅅㅣㅇㅣㄹ
시합,ㅅㅣㅎㅏㅂ
주름,ㅈㅜㄹㅡㅁ
중요,ㅈㅜㅇㅇㅛ
축하,ㅊㅜㄱㅎㅏ
취소,ㅊㅜㅣㅅㅗ
커튼,ㅋㅓㅌㅡㄴ
국수,ㄱㅜㄱㅅㅜ
그전,ㄱㅡㅈㅓㄴ
금고,ㄱㅡㅁㄱㅗ
미인,ㅁㅣㅇㅣㄴ
반지,ㅂㅏㄴㅈㅣ
본사,ㅂㅗㄴㅅㅏ
송이,ㅅㅗㅇㅇㅣ
수컷,ㅅㅜㅋㅓㅅ
식초,ㅅㅣㄱㅊㅗ
야외,ㅇㅑㅇㅗㅣ
잠바,ㅈㅏㅁㅂㅏ
장수,ㅈㅏㅇㅅㅜ
진로,ㅈㅣㄴㄹㅗ
초밥,ㅊㅗㅂㅏㅂ
출구,ㅊㅜㄹㄱㅜ
피망,ㅍㅣㅁㅏㅇ
가위,ㄱㅏㅇㅜㅣ
고속,ㄱㅗㅅㅗㄱ
골치,ㄱㅗㄹㅊㅣ
내달,ㄴㅐㄷㅏㄹ
문구,ㅁㅜㄴㄱㅜ
미만,ㅁㅣㅁㅏㄴ
소질,ㅅㅗㅈㅣㄹ
의류,ㅇㅡㅣㄹㅠ
장가,ㅈㅏㅇㄱㅏ
감사,ㄱㅏㅁㅅㅏ
두통,ㄷㅜㅌㅗㅇ
사냥,ㅅㅏㄴㅑㅇ
수년,ㅅㅜㄴㅕㄴ
숙소,ㅅㅜㄱㅅㅗ
위로,ㅇㅜㅣㄹㅗ
진료,ㅈㅣㄴㄹㅛ
창가,ㅊㅏㅇㄱㅏ
눈가,ㄴㅜㄴㄱㅏ
도망,ㄷㅗㅁㅏㅇ
세수,ㅅㅓㅣㅅㅜ
찌개,ㅈㅈㅣㄱㅐ
추천,ㅊㅜㅊㅓㄴ
매일,ㅁㅐㅇㅣㄹ
서명,ㅅㅓㅁㅕㅇ
자취,ㅈㅏㅊㅜㅣ
지진,ㅈㅣㅈㅣㄴ
창구,ㅊㅏㅇㄱㅜ
최저,ㅊㅗㅣㅈㅓ
필수,ㅍㅣㄹㅅㅜ
하품,ㅎㅏㅍㅜㅁ
가능,ㄱㅏㄴㅡㅇ
교문,ㄱㅛㅁㅜㄴ
잔디,ㅈㅏㄴㄷㅣ
조깅,ㅈㅗㄱㅣㅇ
터널,ㅌㅓㄴㅓㄹ
교복,ㄱㅛㅂㅗㄱ
메모,ㅁㅓㅣㅁㅗ
몸매,ㅁㅗㅁㅁㅐ
배달,ㅂㅐㄷㅏㄹ
서랍,ㅅㅓㄹㅏㅂ
이혼,ㅇㅣㅎㅗㄴ
차남,ㅊㅏㄴㅏㅁ
채점,ㅊㅐㅈㅓㅁ
팬티,ㅍㅐㄴㅌㅣ
귀가,ㄱㅜㅣㄱㅏ
기침,ㄱㅣㅊㅣㅁ
미움,ㅁㅣㅇㅜㅁ
습기,ㅅㅡㅂㄱㅣ
엽서,ㅇㅕㅂㅅㅓ
예보,ㅇㅕㅣㅂㅗ
요일,ㅇㅛㅇㅣㄹ
장마,ㅈㅏㅇㅁㅏ
재학,ㅈㅐㅎㅏㄱ
치약,ㅊㅣㅇㅑㄱ
후회,ㅎㅜㅎㅗㅣ
강조,ㄱㅏㅇㅈㅗ
내적,ㄴㅐㅈㅓㄱ
밤새,ㅂㅏㅁㅅㅐ
저번,ㅈㅓㅂㅓㄴ
정오,ㅈㅓㅇㅇㅗ
추측,ㅊㅜㅊㅡㄱ
충고,ㅊㅜㅇㄱㅗ
간호,ㄱㅏㄴㅎㅗ
건너,ㄱㅓㄴㄴㅓ
국기,ㄱㅜㄱㄱㅣ
대입,ㄷㅐㅇㅣㅂ
복사,ㅂㅗㄱㅅㅏ
식기,ㅅㅣㄱㄱㅣ
안부,ㅇㅏㄴㅂㅜ
양주,ㅇㅑㅇㅈㅜ
용서,ㅇㅛㅇㅅㅓ
우편,ㅇㅜㅍㅕㄴ
공주,ㄱㅗㅇㅈㅜ
달러,ㄷㅏㄹㄹㅓ
박스,ㅂㅏㄱㅅㅡ
베개,ㅂㅓㅣㄱㅐ
입사,ㅇㅣㅂㅅㅏ
걷기,ㄱㅓㄷㄱㅣ
근교,ㄱㅡㄴㄱㅛ
마중,ㅁㅏㅈㅜㅇ
버튼,ㅂㅓㅌㅡㄴ
비만,ㅂㅣㅁㅏㄴ
샤워,ㅅㅑㅇㅜㅓ
신사,ㅅㅣㄴㅅㅏ
오븐,ㅇㅗㅂㅡㄴ
저울,ㅈㅓㅇㅜㄹ
지폐,ㅈㅣㅍㅕㅣ
치과,ㅊㅣㄱㅗㅏ
담요,ㄷㅏㅁㅇㅛ
도착,ㄷㅗㅊㅏㄱ
레저,ㄹㅓㅣㅈㅓ
상추,ㅅㅏㅇㅊㅜ
쇼핑,ㅅㅛㅍㅣㅇ
시외,ㅅㅣㅇㅗㅣ
약수,ㅇㅑㄱㅅㅜ
양보,ㅇㅑㅇㅂㅗ
천재,ㅊㅓㄴㅈㅐ
피곤,ㅍㅣㄱㅗㄴ
학비,ㅎㅏㄱㅂㅣ
번지,ㅂㅓㄴㅈㅣ
사립,ㅅㅏㄹㅣㅂ
석사,ㅅㅓㄱㅅㅏ
숙녀,ㅅㅜㄱㄴㅕ
시댁,ㅅㅣㄷㅐㄱ
전구,ㅈㅓㄴㄱㅜ
카레,ㅋㅏㄹㅓㅣ
해물,ㅎㅐㅁㅜㄹ
교외,ㄱㅛㅇㅗㅣ
농구,ㄴㅗㅇㄱㅜ
세로,ㅅㅓㅣㄹㅗ
이민,ㅇㅣㅁㅣㄴ
지능,ㅈㅣㄴㅡㅇ
호실,ㅎㅗㅅㅣㄹ
내과,ㄴㅐㄱㅗㅏ
인도,ㅇㅣㄴㄷㅗ
탁구,ㅌㅏㄱㄱㅜ
나흘,ㄴㅏㅎㅡㄹ
장모,ㅈㅏㅇㅁㅗ
고궁,ㄱㅗㄱㅜㅇ
단추,ㄷㅏㄴㅊㅜ
미역,ㅁㅣㅇㅕㄱ
손녀,ㅅㅗㄴㄴㅕ
초순,ㅊㅗㅅㅜㄴ
하순,ㅎㅏㅅㅜㄴ
갈비,ㄱㅏㄹㅂㅣ
기혼,ㄱㅣㅎㅗㄴ
도장,ㄷㅗㅈㅏㅇ
모레,ㅁㅗㄹㅓㅣ
장미,ㅈㅏㅇㅁㅣ
닷새,ㄷㅏㅅㅅㅐ
최소,ㅊㅗㅣㅅㅗ
홍차,ㅎㅗㅇㅊㅏ
녹차,ㄴㅗㄱㅊㅏ
만두,ㅁㅏㄴㄷㅜ
팩스,ㅍㅐㄱㅅㅡ
형수,ㅎㅕㅇㅅㅜ
사탕,ㅅㅏㅌㅏㅇ
