기억,ㄱㅣㅇㅓㄱ
인기,ㅇㅣㄴㄱㅣ
구성,ㄱㅜㅅㅓㅇ
이전,ㅇㅣㅈㅓㄴ
그룹,ㄱㅡㄹㅜㅂ
시인,ㅅㅣㅇㅣㄴ
평가,ㅍㅕㅇㄱㅏ
위치,ㅇㅜㅣㅊㅣ
가격,ㄱㅏㄱㅕㄱ
모임,ㅁㅗㅇㅣㅁ
기계,ㄱㅣㄱㅕㅣ
수업,ㅅㅜㅇㅓㅂ
겨울,ㄱㅕㅇㅜㄹ
종교,ㅈㅗㅇㄱㅛ
식사,ㅅㅣㄱㅅㅏ
이웃,ㅇㅣㅇㅜㅅ
편지,ㅍㅕㄴㅈㅣ
종류,ㅈㅗㅇㄹㅠ
어깨,ㅇㅓㄱㄱㅐ
여행,ㅇㅕㅎㅐㅇ
고통,ㄱㅗㅌㅗㅇ
오빠,ㅇㅗㅂㅂㅏ
바탕,ㅂㅏㅌㅏㅇ
의지,ㅇㅡㅣㅈㅣ
나중,ㄴㅏㅈㅜㅇ
며칠,ㅁㅕㅊㅣㄹ
사용,ㅅㅏㅇㅛㅇ
시선,ㅅㅣㅅㅓㄴ
목표,ㅁㅗㄱㅍㅛ
새벽,ㅅㅐㅂㅕㄱ
서양,ㅅㅓㅇㅑㅇ
냄새,ㄴㅐㅁㅅㅐ
남녀,ㄴㅏㅁㄴㅕ
속도,ㅅㅗㄱㄷㅗ
준비,ㅈㅜㄴㅂㅣ
소년,ㅅㅗㄴㅕㄴ
소식,ㅅㅗㅅㅣㄱ
그중,ㄱㅡㅈㅜㅇ
노인,ㄴㅗㅇㅣㄴ
영어,ㅇㅕㅇㅇㅓ
기록,ㄱㅣㄹㅗㄱ
교장,ㄱㅛㅈㅏㅇ
업무,ㅇㅓㅂㅁㅜ
입시,ㅇㅣㅂㅅㅣ
사장,ㅅㅏㅈㅏㅇ
선배,ㅅㅓㄴㅂㅐ
행사,ㅎㅐㅇㅅㅏ
근처,ㄱㅡㄴㅊㅓ
부정,ㅂㅜㅈㅓㅇ
사정,ㅅㅏㅈㅓㅇ
수출,ㅅㅜㅊㅜㄹ
비용,ㅂㅣㅇㅛㅇ
최초,ㅊㅗㅣㅊㅗ
놀이,ㄴㅗㄹㅇㅣ
뿌리,ㅂㅂㅜㄹㅣ
수입,ㅅㅜㅇㅣㅂ
상대,ㅅㅏㅇㄷㅐ
오전,ㅇㅗㅈㅓㄴ
가게,ㄱㅏㄱㅓㅣ
무역,ㅁㅜㅇㅕㄱ
부담,ㅂㅜㄷㅏㅁ
인사,ㅇㅣㄴㅅㅏ
배경,ㅂㅐㄱㅕㅇ
반대,ㅂㅏㄴㄷㅐ
소금,ㅅㅗㄱㅡㅁ
오염,ㅇㅗㅇㅕㅁ
발표,ㅂㅏㄹㅍㅛ
논리,ㄴㅗㄴㄹㅣ
교통,ㄱㅛㅌㅗㅇ
근거,ㄱㅡㄴㄱㅓ
시각,ㅅㅣㄱㅏㄱ
